max error,584.3629009442677
min error,0.0
average error,223.27072485572577
median error,228.1622229905731
stdev error,163.0364881552184
Histogram Bins,Histogram Freq
0.0,40
58.4362900944,27
116.872580189,11
175.308870283,25
233.745160378,47
292.181450472,20
350.617740567,1
409.054030661,2
467.490320755,9
525.92661085,17
